Id,Prices,Volumes,Market_Cap,Date
bitcoin,6212.2260400556115,7179484727.419351,106911788926.75307,2018-08-15
bitcoin,6267.76870877378,6619548180.387301,107788817699.53123,2018-08-16
bitcoin,6309.385226218996,5982589406.965,108578823549.00035,2018-08-17
bitcoin,6566.715163377382,6206194158.951437,113018605465.47177,2018-08-18
bitcoin,6382.0605914076095,5616965845.869809,109889851531.17278,2018-08-19
bitcoin,6475.494019667379,5160365103.111909,111490970656.3322,2018-08-20
bitcoin,6242.8824384007985,5578292470.702208,107511643840.85838,2018-08-21
bitcoin,6467.271730309675,5658517103.312642,111399689881.15749,2018-08-22
bitcoin,6336.6563271087025,6759411527.692144,109149076720.34018,2018-08-23
bitcoin,6521.065718268509,6096332849.286637,112327439428.77159,2018-08-24
bitcoin,6684.379144206679,6913767387.863615,115177527171.81319,2018-08-25
bitcoin,6736.036057516459,5280060347.564506,116073397012.0424,2018-08-26
bitcoin,6728.2880026290095,5215045899.16829,115406552890.99017,2018-08-27
bitcoin,6911.096028949572,5444349729.346103,118546009735.9248,2018-08-28
bitcoin,7075.9834051051,6246602891.545194,121992306938.18849,2018-08-29
bitcoin,7046.748947280631,5976493148.705724,121479639297.29665,2018-08-30
bitcoin,7024.14510718162,6587864491.268964,121103237785.70247,2018-08-31
bitcoin,7027.631279401852,5959884320.762271,121186316787.30235,2018-09-01
bitcoin,7211.270767868822,6257915213.839819,124380655386.09407,2018-09-02
bitcoin,7305.272801003753,6640164154.549976,125994361368.72597,2018-09-03
bitcoin,7260.897516647864,4511643009.568316,125200923805.39091,2018-09-04
bitcoin,7359.462992923027,5344233220.454348,126949626755.787,2018-09-05
bitcoin,6764.926773778225,7036065651.078336,116602093876.15263,2018-09-06
bitcoin,6498.2796126096555,6558109770.577363,112034863191.16696,2018-09-07
bitcoin,6397.81887024023,4422971841.981781,110396118506.89438,2018-09-08
bitcoin,6181.19445075213,3851077568.004001,106668555553.51491,2018-09-09
bitcoin,6260.764806062476,4174629547.594032,108219061918.52274,2018-09-10
bitcoin,6308.135474616629,4504626593.565221,108846231385.41852,2018-09-11
bitcoin,6278.917069628559,5001529025.0324745,108449181464.89592,2018-09-12
bitcoin,6330.574238022664,5026516732.831187,109298582014.21779,2018-09-13
bitcoin,6486.461630393616,4987196751.843109,112124461661.13242,2018-09-14
bitcoin,6500.01225461663,5350596522.1363,112334356298.05247,2018-09-15
bitcoin,6530.221146234664,4295951323.506035,112796085614.54744,2018-09-16
bitcoin,6506.248493217292,4715407407.2624035,112373562206.64603,2018-09-17
bitcoin,6250.121727322729,4600931272.400568,107960190646.44861,2018-09-18
bitcoin,6347.069255451608,4472798160.224327,109629673484.58704,2018-09-19
bitcoin,6383.753841158382,5380977505.120019,110292032124.89343,2018-09-20
bitcoin,6491.885242276883,5059042419.562756,112172960507.04015,2018-09-21
bitcoin,6753.8344721403255,5931455399.756281,116710823191.41154,2018-09-22
bitcoin,6747.032172960024,5159534298.571353,116607568773.97198,2018-09-23
bitcoin,6711.029451815934,4322794079.140574,116001860055.71248,2018-09-24
bitcoin,6596.187313045577,4626497701.607775,114024650850.04753,2018-09-25
bitcoin,6441.311544542553,4580781824.213022,111360852966.35107,2018-09-26
bitcoin,6462.795635292239,3788299697.410916,111760801180.65999,2018-09-27
bitcoin,6704.704245729721,4690261094.515134,115905890382.87775,2018-09-28
bitcoin,6634.765964572905,3140320712.2600975,114768551691.0015,2018-09-29
bitcoin,6606.073795422076,2294291064.4914503,114265552573.72394,2018-09-30
bitcoin,6626.037956098487,1908960742.721659,114617564007.79602,2018-10-01
bitcoin,6598.841259755177,1893760872.9018476,114225251470.51224,2018-10-02
bitcoin,6524.60769791521,2035903501.1612606,112814709079.4464,2018-10-03
bitcoin,6499.262379115219,2247969611.1974277,112545036630.82414,2018-10-04
bitcoin,6578.701809284849,2059404665.1894457,113846158429.54834,2018-10-05
bitcoin,6621.189363919919,1840911129.5584166,114567814410.76247,2018-10-06
bitcoin,6589.124681678888,1464404365.51708,114021329402.35275,2018-10-07
bitcoin,6584.832153052514,1499424737.458561,113962679824.78195,2018-10-08
bitcoin,6653.089450830426,2081626437.4631693,115167647222.33853,2018-10-09
bitcoin,6633.745729917172,1741398466.9025888,114837789505.01476,2018-10-10
bitcoin,6582.455082387102,2070407901.7011054,113987017102.36557,2018-10-11
bitcoin,6234.367641454442,3581191342.767335,108155761830.83029,2018-10-12
bitcoin,6285.592982799844,2295615181.287238,108845285496.56729,2018-10-13
bitcoin,6314.883384422573,1851879464.8516304,109372673141.74013,2018-10-14
bitcoin,6328.554760034424,1847113723.7353718,109624316973.41199,2018-10-15
bitcoin,6659.87550840943,6217858944.018429,115236573309.55287,2018-10-16
bitcoin,6635.125667516839,2746546151.2501135,114960968517.5375,2018-10-17
bitcoin,6635.741832487943,2820354466.330306,114953321633.49261,2018-10-18
bitcoin,6517.511087710534,2625598930.5728407,112970698851.37468,2018-10-19
bitcoin,6483.827769471798,2652532021.929972,112394945004.92676,2018-10-20
bitcoin,6532.678750383806,2387105749.143392,113214078424.96126,2018-10-21
bitcoin,6529.670021370842,2127987152.5866547,113208108538.70485,2018-10-22
bitcoin,6512.589059298922,2655159954.716826,112905904007.05743,2018-10-23
bitcoin,6472.799660641591,2784381146.568883,112227883463.22098,2018-10-24
bitcoin,6481.443589558082,2607022301.561287,112363064964.16649,2018-10-25
bitcoin,6458.191521836801,2618534041.346836,112010056845.21841,2018-10-26
bitcoin,6468.826424965618,2698016930.8820057,112200801079.02803,2018-10-27
bitcoin,6457.058635186671,2383295890.5582404,111998326691.92026,2018-10-28
bitcoin,6481.323141667608,2065446088.788402,112422008134.01062,2018-10-29
bitcoin,6292.6479239344,3631795693.013341,109167179052.3813,2018-10-30
bitcoin,6331.781807909807,1962209613.9889975,109890575608.10541,2018-10-31
bitcoin,6366.720109554257,2042670545.032488,110487418903.24472,2018-11-01
bitcoin,6379.972972168429,2922702484.006447,110896563654.92197,2018-11-02
bitcoin,6425.4415830402095,2675454291.399585,111528929052.5205,2018-11-03
bitcoin,6388.1897883073725,2582446886.6230755,110888814023.684,2018-11-04
bitcoin,6351.061941056285,3198297931.7470818,110241536216.1873,2018-11-05
bitcoin,6415.443408541094,3213571991.0860043,111383003826.06792,2018-11-06
bitcoin,6474.847290336688,3408876943.8566713,112347500910.42685,2018-11-07
bitcoin,6574.801180290013,3120683820.785003,113943582818.14384,2018-11-08
bitcoin,6490.454730761757,2402484611.4646854,112723294658.02623,2018-11-09
bitcoin,6413.78203857173,2707057000.4786224,111440702127.79549,2018-11-10
bitcoin,6429.898792074219,1672332107.6089764,111308110603.00995,2018-11-11
bitcoin,6434.2845969255495,2943678893.5684266,111773252086.90735,2018-11-12
bitcoin,6411.353436205148,2651674690.982871,111385885801.71518,2018-11-13
bitcoin,6394.289276264062,2890964719.217386,111126759494.65367,2018-11-14
bitcoin,5788.612494046974,5690409836.804629,100585460320.22012,2018-11-15
bitcoin,5686.541131058274,4981978552.514329,98829079080.72421,2018-11-16
bitcoin,5609.956182334204,3236633357.0467114,97344067023.98213,2018-11-17
bitcoin,5599.1915956893035,2525819291.4931545,97299989131.4034,2018-11-18
bitcoin,5638.861481452398,2422604400.7507744,98118875508.37688,2018-11-19
bitcoin,4889.197859239111,6126269575.232113,85228342224.35999,2018-11-20
bitcoin,4450.711454417822,6314969584.020993,76601948314.49545,2018-11-21
bitcoin,4613.44841218385,4321511764.357207,80360705527.42929,2018-11-22
bitcoin,4307.388731717267,3055231902.513544,75518575145.29533,2018-11-23
bitcoin,4376.904946801552,3520222575.53617,76120308175.56718,2018-11-24
bitcoin,3895.8368129589876,3115187178.442392,67756132282.086784,2018-11-25
bitcoin,4039.836551137432,5226773378.179892,70327984591.03267,2018-11-26
bitcoin,3811.9235292664935,4652103083.720623,66796155268.6834,2018-11-27
bitcoin,3832.92451590069,4050028039.1486397,66811830848.48212,2018-11-28
bitcoin,4267.243628990657,4973628807.699461,74381953561.03812,2018-11-29
bitcoin,4279.475592548712,4313265392.487118,74400715839.6163,2018-11-30
bitcoin,4009.6895798259993,4007783472.5882053,69715049461.01839,2018-12-01
bitcoin,4189.573822999859,3183894471.4847646,73075855208.30002,2018-12-02
bitcoin,4124.593548643215,3242289555.8219714,71784475615.70909,2018-12-03
bitcoin,3878.8392347832714,3128854932.5753694,67489136960.41757,2018-12-04
bitcoin,3943.6928120656007,3255899964.55098,68592152288.353745,2018-12-05
bitcoin,3751.691966395661,3020004368.112703,65355774058.35723,2018-12-06
bitcoin,3466.763863771732,3672494312.3177876,60357918912.004555,2018-12-07
bitcoin,3408.5236170431267,5243194483.926532,59348913269.876625,2018-12-08
bitcoin,3424.7058606626006,3430203804.247037,59526617773.597786,2018-12-09
bitcoin,3550.546433896889,2938443353.811616,61832986280.19322,2018-12-10
bitcoin,3433.8084404312785,2614506143.32925,59805353928.82642,2018-12-11
bitcoin,3378.808778413106,2720740076.8003125,58852767064.15517,2018-12-12
bitcoin,3438.1000735289817,2552041789.9907007,59878323499.6965,2018-12-13
bitcoin,3294.636156545267,2620531732.8481603,57318285688.441795,2018-12-14
bitcoin,3216.6271499079407,2663819604.586118,55998515509.38865,2018-12-15
bitcoin,3221.9762037129963,2103029919.7436218,56171263934.47407,2018-12-16
bitcoin,3217.0468349697426,1972663570.3920543,56050483689.82096,2018-12-17
bitcoin,3506.2170132794818,3421249875.3626423,61143447505.005135,2018-12-18
bitcoin,3655.775045729801,3898845061.80057,63720433230.19886,2018-12-19
bitcoin,3687.750553192723,4721562503.691853,64363548271.279076,2018-12-20
bitcoin,4065.097238010126,6126325232.95458,70578857837.00003,2018-12-21
bitcoin,3846.2274979885774,4813606168.926531,67118181896.86795,2018-12-22
bitcoin,3960.567773408038,3568245607.7466927,68846085704.00443,2018-12-23
bitcoin,3941.617740158326,3514437242.642075,68680118909.38707,2018-12-24
bitcoin,4021.990255345401,5022191528.110896,70266326465.44417,2018-12-25
bitcoin,3759.1784268965694,4189084247.453542,65350104373.41374,2018-12-26
bitcoin,3781.613081593353,3568561115.8269877,65972460015.27494,2018-12-27
bitcoin,3587.703880138819,3386167814.2749724,62808667853.73499,2018-12-28
bitcoin,3854.4210969825917,3561935968.9151506,67263083067.33795,2018-12-29
bitcoin,3778.193939889601,3031003209.033743,66838758054.14169,2018-12-30
bitcoin,3809.7282286410905,3109685385.4562902,66494185030.58888,2018-12-31
bitcoin,3692.5315655246986,2991427568.3035398,64422635599.72896,2019-01-01
bitcoin,3794.2642537397164,2689877851.31483,66188448932.14009,2019-01-02
bitcoin,3872.1721842228935,3263469039.3230205,67643304990.47443,2019-01-03
bitcoin,3776.525807694106,2261199754.98875,65922288582.921715,2019-01-04
bitcoin,3815.268079882635,2950054796.0741415,66650769533.12984,2019-01-05
bitcoin,3787.3078571242845,2763831883.889694,66070973627.255455,2019-01-06
bitcoin,4013.5200912973864,3435733235.508936,70084169300.15211,2019-01-07
